access_code,state_code,access_flag,add_date,expire_date,status
AC889,CA,0,20090519,20170514,A
AC903,CA,0,20090519,20170514,A
AC908,CA,0,20090519,20170514,A
AC914,CA,0,20090519,20170514,A
AC917,CA,0,20090519,20170514,A
AC918,CA,0,20090519,20170514,A
AC936,CA,0,20090519,20170514,A
AC937,CA,0,20090519,20170514,A
AC939,CA,0,20090519,20170514,A
AC940,CA,0,20090519,20170514,A
AC960,CA,0,20090519,20170514,A
AC968,CA,0,20090519,20170514,A
AC971,CA,0,20090519,20170514,A
AC988,CA,0,20090519,20170514,A
AD000,CA,0,20090519,20170514,A
AD008,CA,0,20090519,20170514,A
AD035,CA,0,20090519,20170514,A
AD039,CA,0,20090519,20170514,A
AD042,CA,0,20090519,20170514,A
AD043,CA,0,20090519,20170514,A
AD044,CA,0,20090519,20170514,A
AD047,CA,0,20090519,20170514,A
AD070,CA,0,20090519,20170514,A
AD089,CA,0,20090519,20170514,A
AD095,CA,0,20090519,20170514,A
AD115,CA,0,20090519,20170514,A
AD121,CA,0,20090519,20170514,A
AD128,CA,0,20090519,20170514,A
AD129,CA,0,20090519,20170514,A
AD131,CA,0,20090519,20170514,A
AD133,CA,0,20090519,20170514,A
AD147,CA,0,20090519,20170514,A
AD150,CA,0,20090519,20170514,A
AD156,CA,0,20090519,20170514,A
AD162,CA,0,20090519,20170514,A
AD169,CA,0,20090519,20170514,A
AD187,CA,0,20090519,20170514,A
AD202,CA,0,20090519,20170514,A
AD230,CA,0,20090519,20170514,A
AD242,CA,0,20090519,20170514,A
AD253,CA,0,20090519,20170514,A
AD258,CA,0,20090519,20170514,A
AD286,CA,0,20090519,20170514,A
AD297,CA,0,20090519,20170514,A
AE018,CA,0,20090519,20170514,A
AE023,CA,0,20090519,20170514,A
AE030,CA,0,20090519,20170514,A
AE034,CA,0,20090519,20170514,A
AE036,CA,0,20090519,20170514,A
AE049,CA,0,20090519,20170514,A
AE050,CA,0,20090519,20170514,A
AE051,CA,0,20090519,20170514,A
AE055,CA,0,20090519,20170514,A
AE062,CA,0,20090519,20170514,A
AE077,CA,0,20090519,20170514,A
AE085,CA,0,20090519,20170514,A
AE090,CA,0,20090519,20170514,A
AE094,CA,0,20090519,20170514,A
AE097,CA,0,20090519,20170514,A
AE110,CA,0,20090519,20170514,A
AE114,CA,0,20090519,20170514,A
AE122,CA,0,20090519,20170514,A
AE128,CA,0,20090519,20170514,A
AE131,CA,0,20090519,20170514,A
AE132,CA,0,20090519,20170514,A
AE134,CA,0,20090519,20170514,A
AE153,CA,0,20090519,20170514,A
AE157,CA,0,20090519,20170514,A
AE160,CA,0,20090519,20170514,A
AE164,CA,0,20090519,20170514,A
AE167,CA,0,20090519,20170514,A
AE179,CA,0,20090519,20170514,A
AE181,CA,0,20090519,20170514,A
AE185,CA,0,20090519,20170514,A
AE186,CA,0,20090519,20170514,A
AE195,CA,0,20090519,20170514,A
AE199,CA,0,20090519,20170514,A
AE201,CA,0,20090519,20170514,A
AE205,CA,0,20090519,20170514,A
AE207,CA,0,20090519,20170514,A
AE212,CA,0,20090519,20170514,A
AE216,CA,0,20090519,20170514,A
AE220,CA,0,20090519,20170514,A
AE221,CA,0,20090519,20170514,A
AE230,CA,0,20090519,20170514,A
AE241,CA,0,20090519,20170514,A
AE243,CA,0,20090519,20170514,A
AE251,CA,0,20090519,20170514,A
AE254,CA,0,20090519,20170514,A
AE256,CA,0,20090519,20170514,A
AE258,CA,0,20090519,20170514,A
AE262,CA,0,20090519,20170514,A
AE264,CA,0,20090519,20170514,A
AE272,CA,0,20090519,20170514,A
AE273,CA,0,20090519,20170514,A
AE277,CA,0,20090519,20170514,A
AE281,CA,0,20090519,20170514,A
AE292,CA,0,20090519,20170514,A
AE306,CA,0,20090519,20170514,A
AE307,CA,0,20090519,20170514,A
AE309,CA,0,20090519,20170514,A
AE316,CA,0,20090519,20170514,A
AE326,CA,0,20090519,20170514,A
AE331,CA,0,20090519,20170514,A
AE334,CA,0,20090519,20170514,A
AE335,CA,0,20090519,20170514,A
AE337,CA,0,20090519,20170514,A
AE350,CA,0,20090519,20170514,A
AE352,CA,0,20090519,20170514,A
AE355,CA,0,20090519,20170514,A
AE359,CA,0,20090519,20170514,A
AE360,CA,0,20090519,20170514,A
AE371,CA,0,20090519,20170514,A
AE372,CA,0,20090519,20170514,A
AE377,CA,0,20090519,20170514,A
AE378,CA,0,20090519,20170514,A
AE381,CA,0,20090519,20170514,A
AE385,CA,0,20090519,20170514,A
AE388,CA,0,20090519,20170514,A
AE396,CA,0,20090519,20170514,A
AF698,CA,0,20090519,20170514,A
AF700,CA,0,20090519,20170514,A
AF708,CA,0,20090519,20170514,A
AF709,CA,0,20090519,20170514,A
AF724,CA,0,20090519,20170514,A
AF732,CA,0,20090519,20170514,A
AF733,CA,0,20090519,20170514,A
AF752,CA,0,20090519,20170514,A
AF753,CA,0,20090519,20170514,A
AF757,CA,0,20090519,20170514,A
AF760,CA,0,20090519,20170514,A
AF765,CA,0,20090519,20170514,A
AF767,CA,0,20090519,20170514,A
AF775,CA,0,20090519,20170514,A
AF776,CA,0,20090519,20170514,A
AF779,CA,0,20090519,20170514,A
AF783,CA,0,20090519,20170514,A
AF787,CA,0,20090519,20170514,A
AF789,CA,0,20090519,20170514,A
AF792,CA,0,20090519,20170514,A
AF793,CA,0,20090519,20170514,A
AF803,CA,0,20090519,20170514,A
AF804,CA,0,20090519,20170514,A
AF814,CA,0,20090519,20170514,A
AF828,CA,0,20090519,20170514,A
AF829,CA,0,20090519,20170514,A
AF839,CA,0,20090519,20170514,A
AF840,CA,0,20090519,20170514,A
AF847,CA,0,20090519,20170514,A
AF848,CA,0,20090519,20170514,A
AF863,CA,0,20090519,20170514,A
AF871,CA,0,20090519,20170514,A
AF879,CA,0,20090519,20170514,A
AF884,CA,0,20090519,20170514,A
AF891,CA,0,20090519,20170514,A
AF897,CA,0,20090519,20170514,A
AF902,CA,0,20090519,20170514,A
AF910,CA,0,20090519,20170514,A
AF911,CA,0,20090519,20170514,A
AF917,CA,0,20090519,20170514,A
AF920,CA,0,20090519,20170514,A
AF922,CA,0,20090519,20170514,A
AF923,CA,0,20090519,20170514,A
AF924,CA,0,20090519,20170514,A
AF927,CA,0,20090519,20170514,A
AF930,CA,0,20090519,20170514,A
AF931,CA,0,20090519,20170514,A
AF932,CA,0,20090519,20170514,A
AF939,CA,0,20090519,20170514,A
AF947,CA,0,20090519,20170514,A
AF954,CA,0,20090519,20170514,A
AF957,CA,0,20090519,20170514,A
AF958,CA,0,20090519,20170514,A
AF959,CA,0,20090519,20170514,A
AF960,CA,0,20090519,20170514,A
AF961,CA,0,20090519,20170514,A
AF965,CA,0,20090519,20170514,A
AF968,CA,0,20090519,20170514,A
AF974,CA,0,20090519,20170514,A
AF979,CA,0,20090519,20170514,A
AF986,CA,0,20090519,20170514,A
AF989,CA,0,20090519,20170514,A
AF990,CA,0,20090519,20170514,A
AF993,CA,0,20090519,20170514,A
AF999,CA,0,20090519,20170514,A
AG005,CA,0,20090519,20170514,A
AG013,CA,0,20090519,20170514,A
AG024,CA,0,20090519,20170514,A
AG027,CA,0,20090519,20170514,A
AG039,CA,0,20090519,20170514,A
AG041,CA,0,20090519,20170514,A
AG044,CA,0,20090519,20170514,A
AG053,CA,0,20090519,20170514,A
AG060,CA,0,20090519,20170514,A
AG066,CA,0,20090519,20170514,A
AG075,CA,0,20090519,20170514,A
AG078,CA,0,20090519,20170514,A
AG081,CA,0,20090519,20170514,A
AG082,CA,0,20090519,20170514,A
AG112,CA,0,20090519,20170514,A
AG115,CA,0,20090519,20170514,A
AG122,CA,0,20090519,20170514,A
AG123,CA,0,20090519,20170514,A
AG124,CA,0,20090519,20170514,A
AG125,CA,0,20090519,20170514,A
AH003,CA,0,20090519,20170514,A
AH004,CA,0,20090519,20170514,A
AH005,CA,0,20090519,20170514,A
AH010,CA,0,20090519,20170514,A
AH016,CA,0,20090519,20170514,A
AH032,CA,0,20090519,20170514,A
AH034,CA,0,20090519,20170514,A
AH047,CA,0,20090519,20170514,A
AH054,CA,0,20090519,20170514,A
AH069,CA,0,20090519,20170514,A
AH080,CA,0,20090519,20170514,A
AH091,CA,0,20090519,20170514,A
AH093,CA,0,20090519,20170514,A
AH100,CA,0,20090519,20170514,A
AH102,CA,0,20090519,20170514,A
AH116,CA,0,20090519,20170514,A
AH118,CA,0,20090519,20170514,A
AH127,CA,0,20090519,20170514,A
AH128,CA,0,20090519,20170514,A
AH150,CA,0,20090519,20170514,A
AH151,CA,0,20090519,20170514,A
AH152,CA,0,20090519,20170514,A
AH154,CA,0,20090519,20170514,A
AH158,CA,0,20090519,20170514,A
AH160,CA,0,20090519,20170514,A
AH168,CA,0,20090519,20170514,A
AH172,CA,0,20090519,20170514,A
AH176,CA,0,20090519,20170514,A
AH185,CA,0,20090519,20170514,A
AH186,CA,0,20090519,20170514,A
AH187,CA,0,20090519,20170514,A
AH188,CA,0,20090519,20170514,A
