Location,Node,Relationship
0001499,CP4481000,R
0001500,CP4482000,R
0001501,CP4483000,R
0001502,CP4484000,R
0001503,CP4485000,R
0001504,CP4486000,R
0001505,CP4487000,R
0001506,CP4488000,R
0001507,CP4489000,R
0001508,CP4490000,R
0001509,CP4491000,R
0001510,CP4492000,R
0001511,CP4493000,R
0001512,CP4494000,R
0001513,CP4495000,R
0001514,CP4496000,R
0001515,CP4497000,R
0001516,CP4498000,R
0001517,CP4499000,R
0001518,CP4500000,R
0001519,CP4501000,R
0001520,CP4502000,R
0001521,CP4503000,R
0001522,CP4504000,R
0001523,CP4505000,R
0001524,CP4506000,R
0001525,CP4507000,R
0001526,CP4508000,R
0001527,CP4509000,R
0001528,CP4510000,R
0001529,CP4511000,R
0001530,CP4512000,R
0001531,CP4513000,R
0001532,CP4516000,R
0001533,CP4517000,R
0001534,CP4518000,R
0001535,CP4525000,R
0001536,CP4535000,R
0001537,CP4536000,R
0001538,CP4546000,R
0001539,CP4559000,R
0001540,CP4560000,R
0001541,CP4598000,R
0001542,CP4597000,R
0001543,CP4622000,R
0001545,CP4636000,R
0001546,CP4652000,R
0001547,CP4655000,R
0001549,CP4661000,R
0001551,CP4729000,R
0001552,CP4730000,R
0001553,A07162000,R
0001554,CP4826000,R
0001555,CP4987000,R
0001556,CP5086000,R
0001557,CP5101000,R
0001558,CP5102000,R
0001559,CP5103000,R
0001560,CP5104000,R
0001561,CP5105000,R
0001562,CN0018000,R
0001565,CP5128000,R
0001566,CP5189000,R
0001567,CP5250000,R
0001569,CP5265000,R
0001570,CP5293000,R
0001571,CP5299000,R
0001572,C39073000,R
0001573,C39430000,R
0001574,CP3067000,R
0001575,CP5390000,R
0001576,CP5391000,R
0001577,CP5392000,R
0001578,CP5393000,R
0001579,CP5394000,R
0001580,CP5395000,R
0001581,CP5396000,R
0001582,CP5397000,R
0001583,CP5398000,R
0001584,CP5399000,R
0001585,CP5400000,R
0001586,CP5401000,R
0001587,CP5402000,R
0001588,CP5403000,R
0001589,CP5404000,R
0001590,CP5405000,R
0001591,CP5406000,R
0001592,CP5407000,R
0001593,CP5408000,R
0001594,CP5409000,R
0001595,CP5410000,R
0001596,CP5411000,R
0001597,CP5419000,R
0001598,CP5420000,R
0001599,CP5537000,R
0001600,CP5552000,R
0001601,CP5661000,R
0001602,CP6250000,R
0002001,A00013028,R
0002014,A11278000,R
0002016,CP2654000,R
0101021,F22017000,R
0101028,F33057000,R
0101035,C39026000,R
0101049,F22020000,R
0101052,B14077000,R
0101054,F44140000,R
0101055,F44144000,R
0101056,F44145000,R
0101058,F34064000,R
0101060,E10109000,R
0101061,E47034000,R
0101065,F44191000,R
0101066,A07036000,R
0101084,C33088000,R
0101085,C07036001,R
0101086,C07049000,R
0101087,A07056000,R
0101088,C07060000,R
0101089,E34080000,R
0101090,E10159000,R
0101091,E01032000,R
0101092,C07066000,R
0101094,C07071000,R
0101096,D05073000,R
0101097,D05072000,R
0101099,F44073000,R
0101101,C39191000,R
0101103,E47072000,R
0101105,C22094000,R
0101109,A07098000,R
0101112,A07125000,R
0101113,A33370000,R
0101114,D05346000,R
0101116,A07106000,R
0101117,CP1601000,R
0101118,A05729N00,R
0101119,Y11777000,R
0103020,CP2872000,R
0104062,B15068000,R
0104063,B15069000,R
0104064,B15070000,R
0104065,B15071000,R
0105057,CP0138000,R
0105058,CP0263000,R
0105059,CP0298000,R
0105061,CP0300000,R
0105062,CP0350000,R
0105063,CP0400000,R
0105064,CP0401000,R
0105065,CP0541000,R
0105075,CP1247000,R
0105076,CP0299000,R
0105077,CP2119000,R
0105078,CP3141000,R
0105079,CP3265000,R
0105080,CP3539000,R
0105081,CP3578000,R
0105082,CP3932000,R
0105083,CP4570000,R
0105084,CP4571000,R
0105085,CP4774000,R
0106007,E11037000,R
0106027,D48010000,R
0106029,C33022000,R
0106034,A14063I00,R
0106039,F14061000,R
0106043,D48073000,R
0106044,E34111000,R
0106045,E11079000,R
0106046,C33316000,R
0106048,J84681000,R
0106050,J90985000,R
0106051,J90986000,R
0106052,J90987000,R
0106062,CP0007000,R
0106065,CP0009000,R
0106083,CP0028000,R
0106089,CP0099000,R
0106094,CP0171000,R
0106095,CP0281000,R
0106098,CP0338000,R
0106100,CP0368000,R
0106103,B14309000,R
0106105,CP0485000,R
0106108,CP0530000,R
0106110,C39446000,R
0106112,CP0571001,R
0106114,CP0950000,R
0106115,CP0915000,R
0106116,CP1122000,R
0106123,IP3947000,R
0106127,CP1180000,R
0106129,CP1990000,R
0106134,CP2135000,R
0106135,CP2222000,R
0106137,B14385000,R
0108005,B28019000,R
0108017,D05097000,R
0108018,D05415000,R
0108020,D05420000,R
0108025,C31065000,R
0108026,D06032000,R
0108027,D05512000,R
0108028,D05536000,R
0108029,C39122000,R
0108035,D05079000,R
0108036,C39180000,R
0108037,C39181000,R
0108038,B26097000,R
0108039,D05195000,R
0108040,D05196000,R
0108041,IP6150000,R
0108043,E11585000,R
0108081,D05177000,R
0108094,C39224000,R
0108095,B28062000,R
0108096,D05229000,R
0108099,C31157000,R
0108100,C31158000,R
0108101,J88402000,R
0108102,C22128000,R
0108106,CP0386000,R
0108107,CP0396000,R
0108108,CP0397000,R
0108109,CP0748000,R
0108110,CP0749000,R
0108111,CP0750000,R
0108112,CP0751000,R
0108113,CP0818000,R
0108115,D05075000,R
0108117,D05622000,R
0108118,B14357000,R
0108119,D03052000,R
0108120,E41080000,R
0108121,F04037000,R
0108122,E43145000,R
0108123,E10376000,R
0108124,E10377000,R
0108125,E10378000,R
0108126,F19141000,R
0108127,B18050000,R
0108128,F44529000,R
0108129,F44530000,R
0108130,CP1387000,R
0108131,B14360000,R
0108133,D03107000,R
0108134,E43147000,R
0108136,CP1494000,R
0108137,CP1495000,R
0108138,F44538000,R
0108139,F44539000,R
0108141,CP1632000,R
0108145,CP1677000,R
0108146,CP1814000,R
0108147,CP1815000,R
0108148,CP1816000,R
0108149,CP1817000,R
0108150,CP1846000,R
0108151,CP1848000,R
0108152,CP1849000,R
0108153,CP1850000,R
0108154,CP1851000,R
0108155,CP1852000,R
0108156,CP1853000,R
0108157,CP1854000,R
0108158,CP1871000,R
0108159,CP1872000,R
0108160,CP1873000,R
0108161,CP1874000,R
0108162,CP1875000,R
0108163,CP1898000,R
0108164,IP6150003,R
0108165,CP1401000,R
0108166,CP2140000,R
0108167,CP2141000,R
0108168,CP2185000,R
0108169,CP2186000,R
0108170,CP2260000,R
0108174,D05687000,R
0108177,CP3316000,R
0108179,CP4703000,R
0108182,A05759000,R
0108185,D05417000,R
0109008,E34044000,R
0109014,E11154000,R
0109015,C07053000,R
0109016,C07062000,R
0109017,D48056000,R
0109021,E34016000,R
0109022,C07016000,R
0109024,C07019000,R
0109025,C07022000,R
0109026,C07025000,R
0109027,C07026000,R
0109028,C07027000,R
0109029,C07028000,R
0109030,B14062000,R
0109031,B14053000,R
0109032,B14060000,R
0109033,B14058000,R
0109034,B14054000,R
0109036,E10097000,R
0109038,B26083000,R
0109039,E07030000,R
0109040,C07057000,R
0109041,A07085000,R
0109043,C07101000,R
0109044,C07104000,R
0109045,C07002000,R
0109047,C07114000,R
0109048,C07115000,R
0109049,C07116000,R
0109050,C07117000,R
0109051,C07118000,R
0109052,C07119000,R
0109053,C07120000,R
0109055,C07122000,R
0109056,C07123000,R
0109067,IP7139000,R
0109068,C07050000,R
0109069,CP1040000,R
0109076,C07144000,R
0109077,C07145000,R
0109078,C33032000,R
0109081,CP1599000,R
0109085,CP1661000,R
0109089,CP1976000,R
0109090,CP2006000,R
0109091,CP2007000,R
0109092,CP2008000,R
0109093,CP2009000,R
0109094,CP2010000,R
0109095,CP2020000,R
0109096,CP2012000,R
0109097,CP2013000,R
0109098,CP2014000,R
0109099,CP2015000,R
0109100,CP2016000,R
0109101,CP2017000,R
0109102,CP2018000,R
0109103,CP2019000,R
0109104,CP2150000,R
0109105,CP2151000,R
0109106,IP0715300,R
0109108,CP2394000,R
0109110,CP2809000,R
0109111,CP3016000,R
0109112,CP3053000,R
0109113,CP3481000,R
0109115,CP0000000,R
0109120,CP2712000,R
0109121,CP4422000,R
0109122,CP4423000,R
0109123,CP4424000,R
0109124,CP4456000,R
0109125,CP4465000,R
0109126,CP4466000,R
0109127,CP4471000,R
0109128,CP4472000,R
0109129,CP4473000,R
0109131,NO,R
0109132,D00000000,R
0109133,D11111000,R
0109135,IP0710600,R
0109137,CP4838000,R
0109138,CP4839000,R
0109139,CP4860000,R
0109140,CP4948000,R
0109141,CP4946000,R
0109142,CP4945000,R
0109143,CP4950000,R
0109144,CP4951000,R
0109147,CP5061000,R
0109148,CP5063000,R
0109149,CP5064000,R
0109150,CP3493000,R
0109153,CP5095000,R
0109154,CP5190000,R
0109155,CP5199000,R
0109156,CP5200000,R
0109157,CP5373000,R
0109158,IP0717800,R
0109159,B50140100,R
0110035,C30011000,R
0110041,C33056000,R
0110042,C33040000,R
0110050,F17002000,R
0110054,E43010000,R
0110098,C33099000,R
0111003,C08006000,R
0114001,E11012000,R
0114050,C21036000,R
0114051,C21035000,R
0114052,A21047000,R
0114088,J76518000,R
0114089,A21001000,R
0114090,C21004000,R
0114091,C21018000,R
0114092,C21020000,R
0114093,C21021000,R
0114094,C21022000,R
0114097,C1047000,R
0114098,D06070000,R
0114099,D48080000,R
0114100,C21085000,R
0114101,C21112000,R
0114102,C21113000,R
0114103,A14293N00,R
0114104,A21141000,R
0114105,JJ6775000,R
0114106,CP0946000,R
0114107,CP1194000,R
0114108,CP1195000,R
0114109,CP1196000,R
0114110,CP1197000,R
0114111,CP1198000,R
0114113,CP1182000,R
0114114,CP1314000,R
0114116,CP2197000,R
0114117,CP2198000,R
0114118,CP2199000,R
0114119,CP2200000,R
0114120,CP2201000,R
0114121,CP2202000,R
0114122,CP2203000,R
0114123,CP2204000,R
0114125,CP2211000,R
0114127,CP1230000,R
0114128,CP1231000,R
0114129,CP1232000,R
0114130,CP1233000,R
0114131,CP1234000,R
0114132,CP1245000,R
0114133,CP2229000,R
0114134,CP2243000,R
0114135,CP2305000,R
0114136,CP2355000,R
0114137,CP2359000,R
0114138,CP2357000,R
0114157,CP2475000,R
0114162,CP2093000,R
0114163,CP2504000,R
0114164,CP3250000,R
0114165,CP3251000,R
0114166,CP3252000,R
0114167,CP3253000,R
0114168,CP3254000,R
0114169,CP3255000,R
0114172,CP3258000,R
0114173,CP3259000,R
0114174,CP3260000,R
0114175,CP3261000,R
0114176,CP3262000,R
0114177,CP3263000,R
0114178,CP3264000,R
0114179,CP3577000,R
0114180,IP2118100,R
0114184,CP4266000,R
0114185,CP4460000,R
0114186,CP4461000,R
0114187,CP4605000,R
0114188,CP4735000,R
0114189,CP4736000,R
0114190,CP4737000,R
0114191,CP4738000,R
0114192,CP4740000,R
0114193,CP4859000,R
0114194,D14461FTP,R
0114195,IS0169000,R
0115005,F44074000,R
0115042,F05078000,R
0115046,C33260000,R
0115047,C33262000,R
0115048,C33261000,R
0117004,CP0173000,R
0117005,CP0174000,R
0117006,C39497FTP,R
0117007,CP4429000,R
0117008,IP3951400,R
0117009,C39530FTP,R
0117010,CP5360000,R
0117012,IS0240000,R
0117013,IS0241000,R
0117014,IS0242000,R
0117015,IS0243000,R
0117016,IS0244000,R
0117017,IS0252000,R
0121002,E10082000,R
0122001,A01006F09,R
0122002,A03009F24,R
0122003,A05045F12,R
0122004,A05012F02,R
0122005,A05013F23,R
0122006,A06007F20,R
0122007,A39024F13,R
0122008,A10016F10,R
0122009,A10017F19,R
0122010,B14039000,R
0122011,A14026F01,R
0122012,A15010F18,R
0122013,A19008F22,R
0122014,A21006F21,R
0122015,A23015F04,R
0122016,A24012F05,R
0122017,A26012F14,R
0122018,A28006F06,R
0122019,A31016F17,R
0122021,A36019F16,R
0122022,A38007F15,R
0122023,A43005F11,R
0122024,A44060F25,R
0122025,A44051F08,R
0122026,A47015F07,R
0122028,A37013F26,R
0122032,A11110F27,R
0122033,A33091F28,R
0122036,A14039F81,R
0122037,F33129000,R
0122038,F33130000,R
0122039,F33131000,R
0122040,A14103F03,R
0122042,E47054000,R
0122043,D48002000,R
